airline,avail_seat_km_per_week,incidents_00_14,fatal_accidents_00_14,fatalities_00_14
Turkish Airlines,1946098294,8,2,84
Egyptair,557699891,4,1,14
Avianca,396922563,0,0,0
Xiamen Airlines,430462962,2,0,0
Saudi Arabian,859673901,11,0,0
Qantas*,1917428984,5,0,0
Virgin Atlantic,1005248585,0,0,0
Pakistan International,348563137,10,2,46
TACA,259373346,1,1,3
Royal Air Maroc,295705339,3,0,0
COPA,550491507,0,0,0
Iberia,1173203126,5,0,0
Ethiopian Airlines,488560643,5,2,92
Condor,417982610,0,0,0
Air France,3004002661,6,2,337
Gulf Air,301379762,3,1,143
Malaysia Airlines,1039171244,3,2,537
Air Canada,1865253802,2,0,0
Japan Airlines,1574217531,0,0,0
Kenya Airways,277414794,2,2,283
China Airlines,813216487,2,1,225
SWISS*,792601299,3,0,0
British Airways*,3179760952,6,0,0
Korean Air,1734522605,1,0,0
All Nippon Airways,1841234177,7,0,0
US Airways / America West*,2455687887,11,2,23
LAN Airlines,1001965891,0,0,0
Hawaiian Airlines,493877795,1,0,0
Cathay Pacific*,2582459303,2,0,0
KLM*,1874561773,1,0,0
Southwest Airlines,3276525770,8,0,0
Alaska Airlines*,965346773,5,1,88
Lufthansa*,3426529504,3,0,0
TAP - Air Portugal,619130754,0,0,0
American*,5228357340,17,3,416
Thai Airways,1702802250,2,1,1
Air New Zealand*,710174817,5,1,7
Aerolineas Argentinas,385803648,1,0,0
Singapore Airlines,2376857805,2,1,83
