date,key,new_hospitalized,total_hospitalized,new_intensive_care,total_intensive_care,new_ventilator,total_ventilator
2020-08-30 00:00:00,CH_BL,0,3,0,1,0,1
2020-10-02 00:00:00,CH_TI,-1,1,0,0,0,0
2020-09-29 00:00:00,CH_LU,-2,6,0,0,0,0
2020-10-29 00:00:00,CH_TI,18,123,-1,7,1,5
2020-10-16 00:00:00,CH_GR,1,7,1,3,0,1
2020-05-25 00:00:00,CH_GE,2,13,0,1,0,0
2020-03-20 00:00:00,CH_ZH,23,83,,0,3,15
2020-11-07 00:00:00,CH_ZH,-7,323,5,60,-1,43
2020-12-10 00:00:00,US_KS,0,5654,0,1527,0,409
2020-12-02 00:00:00,US_KS,185,5290,37,1390,14,409
2020-08-29 00:00:00,US_AR,0,4142,0,,0,538
2020-06-21 00:00:00,CH_BE,0,3,0,0,0,0
2020-07-21 00:00:00,CH_VS,0,8,-1,1,0,1
2020-09-25 00:00:00,US_KS,50,2816,15,768,10,250
2020-10-22 00:00:00,US_AL,118,19448,18,1985,16,1137
2020-11-05 00:00:00,CH_ZH,-10,326,0,52,6,39
2020-08-11 00:00:00,US_UT,35,2677,12,685,2,277
2021-02-05 00:00:00,US_UT,58,13755,4,2162,0,742
2020-10-13 00:00:00,CH_BL,1,4,0,0,0,0
2020-02-29 00:00:00,CH_TI,0,0,0,0,0,0
2020-09-10 00:00:00,CH_NE,-2,1,0,0,0,0
2021-01-12 00:00:00,CH_BL,-8,54,-1,6,-1,6
2020-10-10 00:00:00,CH_ZH,6,42,1,6,0,4
2021-02-03 00:00:00,CH_BL,0,23,1,5,-1,2
2020-05-12 00:00:00,US_KS,0,660,0,233,0,101
2020-09-01 00:00:00,CH_ZH,4,26,-1,7,0,6
2020-07-01 00:00:00,CH_TI,-2,2,0,0,0,0
2020-07-20 00:00:00,CH_VS,0,8,0,2,0,1
2020-06-19 00:00:00,US_AL,43,2416,15,710,10,415
2020-05-30 00:00:00,US_KS,0,842,0,284,0,124
2020-08-11 00:00:00,US_KS,0,1911,0,534,0,194
2020-12-15 00:00:00,CH_LU,1,93,0,,4,19
2020-04-08 00:00:00,US_AR,-18,130,,43,-4,39
2020-05-11 00:00:00,CH_TI,3,80,0,10,-1,8
2020-10-05 00:00:00,CH_LU,0,6,0,1,0,1
2020-07-09 00:00:00,US_AL,33,3039,6,877,4,490
2020-05-24 00:00:00,US_AR,8,598,0,,0,111
2020-07-27 00:00:00,CH_LU,0,6,0,3,0,3
2020-10-22 00:00:00,CH_VS,22,117,0,8,-1,2
2020-12-02 00:00:00,CH_GR,2,48,-1,7,0,6
2020-08-30 00:00:00,US_AL,0,14267,8,1467,3,804
2020-05-20 00:00:00,US_UT,12,631,3,200,3,87
2020-07-12 00:00:00,US_KS,0,1304,0,405,0,160
2020-09-19 00:00:00,CH_BL,-2,1,0,0,0,0
2020-11-08 00:00:00,CH_NE,13,136,1,19,1,14
2020-09-29 00:00:00,CH_BL,0,0,0,0,0,0
2020-05-17 00:00:00,US_AL,5,1392,3,504,1,296
2021-01-01 00:00:00,CH_BL,-4,69,0,8,0,8
2020-08-16 00:00:00,CH_ZH,3,29,1,7,1,7
2020-10-08 00:00:00,CH_LU,1,6,1,2,1,2
2020-04-04 00:00:00,CH_ZH,-13,194,0,0,2,59
2020-07-02 00:00:00,CH_ZH,-3,10,-2,0,0,0
2020-04-24 00:00:00,US_AR,0,291,0,,0,57
2020-12-23 00:00:00,US_UT,109,10327,8,1765,5,620
2020-10-30 00:00:00,US_AR,36,7003,0,,5,834
2020-05-04 00:00:00,CH_LU,-4,15,-1,6,-1,6
2020-06-05 00:00:00,US_AL,20,1949,2,603,1,358
2020-11-01 00:00:00,CH_SG,16,152,2,20,1,16
2021-01-06 00:00:00,US_AR,124,11867,0,,15,1271
2020-09-30 00:00:00,CH_VS,2,38,0,1,0,1
2020-09-28 00:00:00,US_KS,36,2852,17,785,1,251
2020-10-22 00:00:00,CH_LU,5,31,0,4,0,4
2020-09-21 00:00:00,CH_VS,2,22,0,0,0,0
2021-02-06 00:00:00,CH_ZH,-8,200,-1,48,2,38
2020-03-06 00:00:00,CH_TI,0,0,0,0,0,0
2020-03-12 00:00:00,CH_TI,0,0,0,0,0,0
2021-02-04 00:00:00,CH_NE,0,32,1,6,1,5
2020-05-29 00:00:00,CH_BE,-2,9,-2,0,0,1
2020-03-07 00:00:00,CH_VS,0,12,0,0,0,0
2020-09-01 00:00:00,CH_VS,0,10,0,0,0,0
2020-06-03 00:00:00,CH_TI,-6,20,0,1,0,1
2020-10-22 00:00:00,CH_NE,14,51,1,5,1,4
2020-10-17 00:00:00,CH_TI,1,19,-1,1,0,1
2021-02-01 00:00:00,US_KS,72,8489,21,2311,0,412
2020-05-19 00:00:00,US_UT,24,619,0,197,0,84
2020-10-15 00:00:00,CH_NE,2,17,1,1,0,0
2020-04-18 00:00:00,US_AL,26,620,0,247,0,148
2020-04-02 00:00:00,CH_NE,-5,61,-2,12,2,10
2020-12-03 00:00:00,CH_BE,-29,304,-11,57,0,46
2020-07-03 00:00:00,CH_TI,0,1,0,0,0,0
2021-01-08 00:00:00,US_AL,343,36754,7,2456,0,1404
2020-12-26 00:00:00,CH_TI,6,349,1,39,2,35
2020-12-17 00:00:00,US_AR,127,10357,0,,8,1125
2020-04-29 00:00:00,CH_AG,-3,38,-2,10,-2,9
2020-07-14 00:00:00,CH_BL,0,3,0,0,0,0
2020-12-22 00:00:00,US_UT,116,10218,32,1757,6,615
2020-06-10 00:00:00,CH_TI,-2,10,-1,0,0,0
2020-12-14 00:00:00,CH_NE,-10,71,-2,4,-2,1
2020-03-31 00:00:00,CH_GR,0,58,1,10,1,10
2020-05-09 00:00:00,US_KS,27,635,6,229,1,100
2020-11-11 00:00:00,CH_SG,-4,184,-2,28,0,24
2020-06-23 00:00:00,US_AR,24,1188,0,,0,186
2020-06-11 00:00:00,CH_GR,1,1,0,0,0,0
2020-12-07 00:00:00,CH_BL,-3,59,0,6,0,4
2020-08-29 00:00:00,US_UT,16,3057,1,774,1,319
2021-01-10 00:00:00,CH_VS,4,98,0,12,0,7
2020-10-25 00:00:00,CH_ZH,29,159,1,22,-2,14
2020-12-27 00:00:00,CH_BL,2,72,-2,9,-1,4
2020-05-25 00:00:00,CH_NE,0,4,0,1,0,1
2020-05-23 00:00:00,CH_BE,0,20,0,3,0,3
2020-04-12 00:00:00,CH_BL,-2,48,1,17,-1,14
2020-10-28 00:00:00,CH_TI,15,105,2,8,1,4
2020-10-07 00:00:00,US_UT,55,4113,4,941,1,371
2021-01-29 00:00:00,CH_BE,-17,118,-2,24,-2,20
2020-10-26 00:00:00,CH_VS,19,171,1,12,2,4
2020-06-29 00:00:00,CH_GE,2,7,-1,1,0,1
2020-06-26 00:00:00,US_KS,46,1128,8,356,2,152
2020-08-21 00:00:00,CH_VS,0,15,0,1,0,1
2020-05-27 00:00:00,US_AL,48,1719,9,560,7,334
2020-08-19 00:00:00,CH_BL,-1,1,0,1,1,1
2020-07-10 00:00:00,CH_TI,1,3,0,0,0,0
2020-11-26 00:00:00,CH_BE,-21,334,-10,57,-6,44
2020-12-22 00:00:00,CH_VS,-8,78,-3,15,-4,11
2020-12-02 00:00:00,CH_BL,-1,61,0,8,0,4
2021-01-28 00:00:00,CH_BL,-4,20,1,7,1,6
